,Match No,Match Center,Date,Day,Time (IST),Stadium,City
0,1,MUMBAI INDIANS Vs ROYAL CHALLENGERS BANGALORE,9-Apr-21,Friday,7:30 PM,M.A.Chidambaram Chepauk Stadium,
1,5,KOLKATA KNIGHT RIDERS Vs MUMBAI INDIANS,13-Apr-21,Tuesday,7:30 PM,M.A.Chidambaram Chepauk Stadium,
2,9,MUMBAI INDIANS Vs SUNRISERS HYDERABAD,17-Apr-21,Saturday,7:30 PM,M.A.Chidambaram Chepauk Stadium,
3,13,DELHI CAPITALS Vs MUMBAI INDIANS,20-Apr-21,Tuesday,7:30 PM,M.A.Chidambaram Chepauk Stadium,
4,17,PUNJAB KINGS Vs MUMBAI INDIANS,23-Apr-21,Friday,7:30 PM,M.A.Chidambaram Chepauk Stadium,
5,24,MUMBAI INDIANS Vs RAJASTHAN ROYALS,29-Apr-21,Thursday,3:30 PM,Feroz Shah Kotla Stadium,
6,27,MUMBAI INDIANS Vs CHENNAI SUPER KINGS,1-May-21,Saturday,7:30 PM,Feroz Shah Kotla Stadium,
7,31,SUNRISERS HYDERABAD Vs MUMBAI INDIANS,4-May-21,Tuesday,7:30 PM,Feroz Shah Kotla Stadium,
8,36,RAJASTHAN ROYALS Vs MUMBAI INDIANS,8-May-21,Saturday,7:30 PM,Feroz Shah Kotla Stadium,
9,39,MUMBAI INDIANS Vs KOLKATA KNIGHT RIDERS,10-May-21,Monday,7:30 PM,M.Chinnaswamy Stadium,
10,42,MUMBAI INDIANS Vs PUNJAB KINGS,13-May-21,Thursday,3:30 PM,M.Chinnaswamy Stadium,
11,47,CHENNAI SUPER KINGS Vs MUMBAI INDIANS,16-May-21,Sunday,7:30 PM,M.Chinnaswamy Stadium,
12,51,ROYAL CHALLENGERS BANGALORE Vs MUMBAI INDIANS,20-May-21,Thursday,7:30 PM,Eden Gardens Stadium,
13,55,MUMBAI INDIANS Vs DELHI CAPITALS,23-May-21,Sunday,3:30 PM,Eden Gardens Stadium,
